Round,Seed,Model,Stage,Start_Time,End_Time,Duration_Sec,cpu_active_mean,ram_used_mean
1,5855,Dummy,Training,2025-12-01 23:34:56.379486,2025-12-01 23:34:56.926242,0.5467395782470703,,
1,5855,Dummy,Inference,2025-12-01 23:34:56.926256,2025-12-01 23:34:56.946945,0.0206828117370605,,
1,5855,KNN,Training,2025-12-01 23:35:00.770997,2025-12-01 23:35:02.007963,1.236949443817139,1.6181966,18499.185
1,5855,KNN,Inference,2025-12-01 23:35:02.007975,2025-12-02 01:17:01.934625,6119.926638364792,96.26617281667211,19263.591933638443
1,5855,DecisionTree,Training,2025-12-02 01:17:06.308159,2025-12-02 01:18:16.070020,69.76184797286987,1.6452640485714285,19762.276857142857
1,5855,DecisionTree,Inference,2025-12-02 01:18:16.070037,2025-12-02 01:18:16.338901,0.2688546180725097,,
1,5855,RandomForest,Training,2025-12-02 01:18:20.262490,2025-12-02 01:21:26.007884,185.74537682533264,76.11477398924731,60363.79112903226
1,5855,RandomForest,Inference,2025-12-02 01:21:26.007898,2025-12-02 01:21:28.411743,2.403836488723755,31.3763718,23569.19
1,5855,XGBoost,Training,2025-12-02 01:21:32.809395,2025-12-02 01:26:54.605039,321.79562497138977,77.46066765527951,22508.14903726708
1,5855,XGBoost,Inference,2025-12-02 01:26:54.605061,2025-12-02 01:26:56.325775,1.72070574760437,80.0948882,21570.655
1,5855,LightGBM,Training,2025-12-02 01:27:01.015180,2025-12-02 01:29:43.665388,162.65019154548645,85.00661739629629,22908.38592592593
1,5855,LightGBM,Inference,2025-12-02 01:29:43.665405,2025-12-02 01:29:47.631997,3.966582775115967,94.0836783,21966.84
1,5855,CatBoost,Training,2025-12-02 01:29:52.054556,2025-12-02 01:43:15.178920,803.1243472099304,3.0422157962593515,23178.172556109726
1,5855,CatBoost,Inference,2025-12-02 01:43:15.178935,2025-12-02 01:43:18.661120,3.4821770191192627,13.9595218,22781.9925
1,5855,Ensemble_Stacking,Training,2025-12-02 01:43:23.048692,2025-12-02 03:31:53.777376,6510.728665113449,33.96191495013825,32594.466671274968
1,5855,Ensemble_Stacking,Inference,2025-12-02 03:31:53.777396,2025-12-02 03:32:05.900124,12.12271785736084,53.09961385,27704.5275
2,5771,Dummy,Training,2025-12-02 03:32:53.770361,2025-12-02 03:32:54.310579,0.5401999950408936,1.6256337,23480.48
2,5771,Dummy,Inference,2025-12-02 03:32:54.310593,2025-12-02 03:32:54.329052,0.0184526443481445,,
2,5771,KNN,Training,2025-12-02 03:32:58.144647,2025-12-02 03:32:59.415679,1.2710180282592771,,
2,5771,KNN,Inference,2025-12-02 03:32:59.415692,2025-12-02 05:16:28.978338,6209.562637329102,96.35405211384864,25373.8841626409
2,5771,DecisionTree,Training,2025-12-02 05:16:32.667752,2025-12-02 05:17:30.694279,58.02651143074036,1.629209493103448,25811.94913793103
2,5771,DecisionTree,Inference,2025-12-02 05:17:30.694294,2025-12-02 05:17:30.933438,0.2391362190246582,,
2,5771,RandomForest,Training,2025-12-02 05:17:34.616789,2025-12-02 05:20:43.401792,188.78498792648315,74.92462944255318,64121.32340425533
2,5771,RandomForest,Inference,2025-12-02 05:20:43.401806,2025-12-02 05:20:45.691911,2.29009747505188,25.4291045,28463.58
2,5771,XGBoost,Training,2025-12-02 05:20:50.152938,2025-12-02 05:25:59.326239,309.17328333854675,78.47698386428571,26676.275909090906
