time,load1,load5,load15
2025-12-03 15:02:46,0.02,0.068,0.36
2025-12-03 15:02:44,0.022,0.07,0.362
2025-12-03 15:02:42,0.026,0.07,0.366
2025-12-03 15:02:40,0.03,0.07,0.37
2025-12-03 15:02:38,0.03,0.07,0.37
2025-12-03 15:02:36,0.03,0.07,0.37
2025-12-03 15:02:34,0.03,0.07,0.37
2025-12-03 15:02:32,0.03,0.07,0.37
2025-12-03 15:02:30,0.03,0.07,0.37
2025-12-03 15:02:28,0.0334706,0.07,0.37
2025-12-03 15:02:26,0.0369412,0.07,0.37
2025-12-03 15:02:24,0.0389412,0.07,0.37
2025-12-03 15:02:22,0.0394706,0.07,0.37
2025-12-03 15:02:20,0.04,0.07,0.37
2025-12-03 15:02:18,0.04,0.074,0.37
2025-12-03 15:02:16,0.04,0.078,0.37
2025-12-03 15:02:14,0.04,0.08,0.372
2025-12-03 15:02:12,0.04,0.08,0.376
2025-12-03 15:02:10,0.04,0.08,0.38
2025-12-03 15:02:08,0.044,0.08,0.38
2025-12-03 15:02:06,0.048,0.08,0.38
2025-12-03 15:02:04,0.05,0.08,0.38
2025-12-03 15:02:02,0.05,0.08,0.38
2025-12-03 15:02:00,0.05,0.08,0.38
2025-12-03 15:01:58,0.054,0.08,0.38
2025-12-03 15:01:56,0.058,0.08,0.38
2025-12-03 15:01:54,0.062,0.08,0.382
2025-12-03 15:01:52,0.066,0.08,0.386
2025-12-03 15:01:50,0.07,0.08,0.39
2025-12-03 15:01:48,0.07,0.0834706,0.39
2025-12-03 15:01:46,0.07,0.0869412,0.39
2025-12-03 15:01:44,0.07,0.0889412,0.39
2025-12-03 15:01:42,0.07,0.0894706,0.39
2025-12-03 15:01:40,0.07,0.09,0.39
2025-12-03 15:01:38,0.074,0.09,0.39
2025-12-03 15:01:36,0.078,0.09,0.39
2025-12-03 15:01:34,0.082,0.09,0.392
2025-12-03 15:01:32,0.086,0.09,0.396
2025-12-03 15:01:30,0.09,0.09,0.4
2025-12-03 15:01:28,0.094,0.09,0.4
2025-12-03 15:01:26,0.098,0.09,0.4
2025-12-03 15:01:24,0.1,0.09,0.4
2025-12-03 15:01:22,0.1,0.09,0.4
2025-12-03 15:01:20,0.1,0.09,0.4
2025-12-03 15:01:18,0.104,0.09,0.4
2025-12-03 15:01:16,0.108,0.09,0.4
2025-12-03 15:01:14,0.112,0.092,0.402
2025-12-03 15:01:12,0.116,0.096,0.406
2025-12-03 15:01:10,0.12,0.1,0.41
2025-12-03 15:01:08,0.124,0.1,0.41
2025-12-03 15:01:06,0.128,0.1,0.41
2025-12-03 15:01:04,0.134,0.1,0.41
2025-12-03 15:01:02,0.142,0.1,0.41
2025-12-03 15:01:00,0.15,0.1,0.41
2025-12-03 15:00:58,0.154,0.1,0.41
2025-12-03 15:00:56,0.158,0.1,0.41
2025-12-03 15:00:54,0.166,0.102,0.412
2025-12-03 15:00:52,0.178,0.106,0.416
2025-12-03 15:00:50,0.19,0.11,0.42
2025-12-03 15:00:48,0.198,0.11,0.42
2025-12-03 15:00:46,0.206,0.11,0.42
2025-12-03 15:00:44,0.2117353,0.11,0.42
2025-12-03 15:00:42,0.2152059,0.11,0.42
2025-12-03 15:00:40,0.2186765,0.11,0.42
2025-12-03 15:00:38,0.2192059,0.11,0.42
2025-12-03 15:00:36,0.2197353,0.11,0.42
2025-12-03 15:00:34,0.224,0.11,0.422
2025-12-03 15:00:32,0.232,0.11,0.426
2025-12-03 15:00:30,0.24,0.11,0.43
2025-12-03 15:00:28,0.252,0.11,0.43
2025-12-03 15:00:26,0.264,0.11,0.43
2025-12-03 15:00:24,0.274,0.112,0.43
2025-12-03 15:00:22,0.282,0.116,0.43
2025-12-03 15:00:20,0.29,0.12,0.43
2025-12-03 15:00:18,0.298,0.12,0.43
