Round,Seed,Model,Stage,Start_Time,End_Time,Duration_Sec
1,5855,Dummy,Training,2025-12-01 23:34:56.379486,2025-12-01 23:34:56.926242,0.5467395782470703
1,5855,Dummy,Inference,2025-12-01 23:34:56.926256,2025-12-01 23:34:56.946945,0.020682811737060547
1,5855,KNN,Training,2025-12-01 23:35:00.770997,2025-12-01 23:35:02.007963,1.2369494438171387
1,5855,KNN,Inference,2025-12-01 23:35:02.007975,2025-12-02 01:17:01.934625,6119.926638364792
1,5855,DecisionTree,Training,2025-12-02 01:17:06.308159,2025-12-02 01:18:16.070020,69.76184797286987
1,5855,DecisionTree,Inference,2025-12-02 01:18:16.070037,2025-12-02 01:18:16.338901,0.26885461807250977
1,5855,RandomForest,Training,2025-12-02 01:18:20.262490,2025-12-02 01:21:26.007884,185.74537682533264
1,5855,RandomForest,Inference,2025-12-02 01:21:26.007898,2025-12-02 01:21:28.411743,2.403836488723755
1,5855,XGBoost,Training,2025-12-02 01:21:32.809395,2025-12-02 01:26:54.605039,321.79562497138977
1,5855,XGBoost,Inference,2025-12-02 01:26:54.605061,2025-12-02 01:26:56.325775,1.7207057476043701
1,5855,LightGBM,Training,2025-12-02 01:27:01.015180,2025-12-02 01:29:43.665388,162.65019154548645
1,5855,LightGBM,Inference,2025-12-02 01:29:43.665405,2025-12-02 01:29:47.631997,3.966582775115967
1,5855,CatBoost,Training,2025-12-02 01:29:52.054556,2025-12-02 01:43:15.178920,803.1243472099304
1,5855,CatBoost,Inference,2025-12-02 01:43:15.178935,2025-12-02 01:43:18.661120,3.4821770191192627
1,5855,Ensemble_Stacking,Training,2025-12-02 01:43:23.048692,2025-12-02 03:31:53.777376,6510.728665113449
1,5855,Ensemble_Stacking,Inference,2025-12-02 03:31:53.777396,2025-12-02 03:32:05.900124,12.12271785736084
2,5771,Dummy,Training,2025-12-02 03:32:53.770361,2025-12-02 03:32:54.310579,0.5401999950408936
2,5771,Dummy,Inference,2025-12-02 03:32:54.310593,2025-12-02 03:32:54.329052,0.01845264434814453
2,5771,KNN,Training,2025-12-02 03:32:58.144647,2025-12-02 03:32:59.415679,1.2710180282592773
2,5771,KNN,Inference,2025-12-02 03:32:59.415692,2025-12-02 05:16:28.978338,6209.562637329102
2,5771,DecisionTree,Training,2025-12-02 05:16:32.667752,2025-12-02 05:17:30.694279,58.026511430740356
